System Type,Architecture,Chunking,Embedding,Database,Answer Accuracy,Retrieval Precision,Hallucination Reduction,Response Time (s)
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,4.5,3.8,5.0,8.04
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.85
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.33
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.2,5.0,6.89
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.0,5.0,6.75
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,2.3,5.0,5.0,6.57
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,2.0,1.0,5.0,6.69
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,3.5,1.7,5.0,6.5
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.92
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,5.0,1.2,5.0,7.21
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,4.8,5.0,5.0,6.69
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,2.3,5.0,5.0,6.84
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,4.6,5.0,5.0,6.97
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,3.1,1.0,5.0,6.35
With RAG,Hybrid RAG,Recursive,BGE embeddings,ChromaDB,5.0,1.7,5.0,7.2
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,4.5,3.2,5.0,7.28
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,5.0,5.0,5.0,7.76
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,5.0,3.8,5.0,6.33
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,2.2,1.0,5.0,6.64
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,2.3,1.0,5.0,6.46
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,2.5,1.0,5.0,7.34
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,5.0,1.0,5.0,6.64
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,4.4,1.2,5.0,6.31
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,5.0,5.0,3.0,6.22
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,4.8,5.0,5.0,6.49
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,5.0,4.0,5.0,6.39
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,2.3,2.9,5.0,6.64
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,2.3,2.5,5.0,6.58
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,2.1,1.0,5.0,6.26
With RAG,Hybrid RAG,Semantic,SentenceTransformers,FAISS,3.1,4.2,5.0,6.53
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.7,5.0,18.88
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,5.0,5.0,5.0,6.57
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,5.0,5.0,5.0,6.6
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,4.2,1.0,5.0,6.71
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.0,5.0,6.58
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,2.5,1.2,5.0,6.82
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.0,5.0,7.86
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,4.4,2.1,5.0,6.67
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,5.0,4.6,5.0,6.97
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,4.7,3.8,5.0,7.01
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,4.2,5.0,5.0,6.58
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,2.3,2.9,5.0,6.74
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,2.3,2.5,5.0,6.77
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,2.1,1.0,5.0,6.58
With RAG,Hybrid RAG,Semantic,SentenceTransformers,ChromaDB,3.1,4.2,5.0,6.83
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.5,3.8,5.0,6.9
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.5,5.0,5.0,6.57
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,5.0,5.0,5.0,6.24
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.8,1.0,5.0,6.85
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,2.0,1.0,5.0,6.23
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,1.8,2.5,5.0,6.84
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,2.3,2.5,5.0,6.33
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.6,4.6,3.1,7.16
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,5.0,1.0,5.0,8.43
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.8,2.5,5.0,7.92
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.6,4.0,5.0,27.55
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,2.3,1.2,5.0,6.69
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.7,4.0,5.0,7.75
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,1.7,1.0,5.0,6.24
With RAG,Hybrid RAG,Semantic,BGE embeddings,FAISS,4.5,4.2,5.0,6.73
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,4.5,4.2,5.0,7.06
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.86
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,5.0,5.0,5.0,6.66
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,5.0,1.2,5.0,7.33
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,2.5,1.0,5.0,7.14
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,2.5,1.0,5.0,7.17
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,1.9,1.0,5.0,6.57
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,4.8,1.2,3.8,6.65
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,2.5,1.0,5.0,6.66
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,4.8,2.5,5.0,6.81
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,4.8,5.0,5.0,6.24
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,2.4,1.0,5.0,7.04
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,4.9,5.0,5.0,7.44
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,2.1,1.0,5.0,6.73
With RAG,Hybrid RAG,Semantic,BGE embeddings,ChromaDB,4.1,1.2,5.0,6.98
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,5.0,1.7,5.0,17.61
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,5.0,5.0,5.0,6.82
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,5.0,3.8,5.0,6.67
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,2.5,1.0,5.0,6.26
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,2.2,1.0,5.0,6.94
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,2.2,1.0,5.0,7.32
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,2.2,1.0,5.0,7.61
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,3.1,2.9,5.0,6.24
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,4.4,5.0,5.0,7.4
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,5.0,2.9,4.6,1.3
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,4.4,5.0,5.0,1.21
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,2.5,1.7,5.0,1.41
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,2.3,2.5,5.0,1.54
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,1.4,1.0,4.0,1.11
With RAG,Graph RAG,Fixed,SentenceTransformers,FAISS,5.0,4.6,5.0,1.32
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.8,1.0,5.0,1.88
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,5.0,5.0,5.0,3.38
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.8,5.0,5.0,1.48
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,2.5,1.0,5.0,1.12
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.8,1.0,5.0,1.19
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,2.5,3.2,5.0,1.32
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.6,1.0,5.0,2.6
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,2.9,1.2,5.0,1.4
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.2,1.7,5.0,1.38
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,5.0,2.5,5.0,1.43
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.5,4.2,5.0,1.44
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,2.5,4.6,5.0,1.54
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,2.1,2.9,5.0,1.83
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,2.8,1.0,5.0,1.45
With RAG,Graph RAG,Fixed,SentenceTransformers,ChromaDB,4.9,5.0,5.0,1.81
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,5.0,5.0,9.82
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,4.5,3.8,5.0,2.01
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,1.0,5.0,1.48
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,5.0,5.0,1.25
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,1.7,5.0,1.34
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,2.2,1.0,5.0,1.54
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,2.9,1.0,5.0,2.84
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,2.3,2.5,5.0,10.86
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,4.8,5.0,3.3,1.37
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,5.0,5.0,1.26
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,2.1,5.0,1.27
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,5.0,3.8,5.0,1.36
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,2.3,5.0,5.0,1.48
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,4.8,2.1,5.0,1.73
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,2.2,5.0,5.0,1.34
With RAG,Graph RAG,Fixed,BGE embeddings,FAISS,4.2,4.2,5.0,2.13
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,4.0,3.8,5.0,2.43
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.0,5.0,1.58
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,4.6,5.0,4.3,1.17
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.0,5.0,1.27
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,2.5,1.0,5.0,1.28
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,2.3,1.0,5.0,1.56
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,1.9,1.7,5.0,1.48
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,4.8,5.0,5.0,1.53
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,1.37
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.7,4.6,1.61
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,4.4,3.8,5.0,1.24
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,2.3,1.0,5.0,5.16
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,5.0,5.0,5.0,1.66
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,2.7,1.0,5.0,1.63
With RAG,Graph RAG,Fixed,BGE embeddings,ChromaDB,5.0,1.0,5.0,1.93
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,5.0,4.6,5.0,9.38
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,4.6,5.0,5.0,2.42
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,5.0,3.8,5.0,15.67
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,1.2,1.0,5.0,9.52
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,2.3,1.0,5.0,7.16
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,1.7,1.2,5.0,1.57
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,4.5,1.0,5.0,1.29
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,4.8,1.7,1.4,1.31
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,5.0,3.8,5.0,1.32
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,5.0,2.5,4.6,1.56
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,4.8,4.2,5.0,1.32
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,2.5,4.6,5.0,1.55
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,2.3,1.0,5.0,1.35
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,2.0,1.0,5.0,1.26
With RAG,Graph RAG,Recursive,SentenceTransformers,FAISS,2.5,1.0,5.0,1.41
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,5.0,1.0,5.0,1.83
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.5,5.0,5.0,1.53
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.8,5.0,5.0,1.2
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.2,1.0,5.0,1.24
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,5.0,5.0,5.0,1.18
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,1.5,3.2,5.0,1.43
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.5,1.0,5.0,1.36
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.4,2.5,4.3,1.36
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,5.0,1.0,5.0,1.32
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.7,2.5,3.9,1.55
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,4.8,4.2,5.0,1.26
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,2.5,5.0,5.0,1.5
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,2.3,2.5,5.0,1.31
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,2.1,1.0,5.0,1.4
With RAG,Graph RAG,Recursive,SentenceTransformers,ChromaDB,3.1,1.0,5.0,1.74
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,4.5,5.0,5.0,2.83
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,5.0,5.0,5.0,3.19
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,5.0,2.5,5.0,1.19
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,4.6,1.0,5.0,1.3
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,2.2,1.0,5.0,1.25
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,3.1,5.0,5.0,1.73
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,2.3,2.5,5.0,1.35
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,3.6,1.7,5.0,1.26
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,5.0,1.0,3.6,1.88
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,4.5,2.5,5.0,2.56
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,4.6,4.0,5.0,1.43
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,2.3,4.0,5.0,1.41
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,4.7,2.1,4.8,1.76
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,2.0,1.0,5.0,1.34
With RAG,Graph RAG,Recursive,BGE embeddings,FAISS,4.8,1.7,5.0,1.92
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,4.5,3.8,5.0,1.77
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,2.79
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,5.0,1.2,5.0,1.28
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.2,5.0,1.56
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,2.5,1.0,5.0,1.41
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,2.3,5.0,5.0,1.28
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,1.9,1.0,5.0,1.41
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,4.4,1.7,5.0,1.22
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,5.0,5.0,5.0,1.46
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,5.0,1.2,5.0,1.7
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,4.8,5.0,5.0,1.6
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,2.0,5.0,5.0,1.37
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,4.0,5.0,5.0,1.55
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,3.1,1.0,5.0,1.66
With RAG,Graph RAG,Recursive,BGE embeddings,ChromaDB,4.8,1.0,5.0,1.99
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,4.9,2.9,5.0,1.82
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,5.0,5.0,5.0,1.68
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,5.0,3.8,5.0,1.3
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,2.0,1.0,5.0,1.39
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,2.3,1.0,5.0,1.28
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,1.9,1.0,5.0,1.7
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,5.0,1.0,5.0,1.49
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,4.4,1.2,5.0,1.2
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,5.0,5.0,5.0,1.17
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,4.8,4.2,5.0,1.4
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,5.0,4.2,5.0,1.29
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,2.3,5.0,5.0,1.51
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,2.3,2.5,5.0,1.44
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,2.3,1.0,5.0,1.26
With RAG,Graph RAG,Semantic,SentenceTransformers,FAISS,3.1,4.2,5.0,1.5
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.7,5.0,1.7
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,4.5,5.0,5.0,1.41
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,4.8,5.0,5.0,1.73
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,3.9,1.0,5.0,1.15
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,4.8,4.2,5.0,1.67
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,2.5,1.2,5.0,1.28
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,5.0,1.0,5.0,1.27
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,4.1,2.1,5.0,1.19
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,5.0,4.6,5.0,1.24
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,4.7,3.8,4.4,1.56
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,4.1,4.2,5.0,1.32
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,2.3,5.0,5.0,1.37
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,2.3,2.9,5.0,1.43
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,2.8,1.0,5.0,1.19
With RAG,Graph RAG,Semantic,SentenceTransformers,ChromaDB,3.1,3.8,5.0,1.46
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.5,3.8,5.0,2.0
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.6,1.0,5.0,3.32
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,5.0,5.0,5.0,1.07
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.8,1.0,5.0,1.34
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,2.2,1.0,5.0,1.25
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,1.8,1.0,5.0,1.64
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,2.3,2.5,5.0,1.21
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.8,4.6,3.1,1.23
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,2.5,5.0,5.0,1.63
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.8,2.5,5.0,1.3
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.7,4.2,5.0,1.45
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,2.3,1.0,5.0,1.46
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.7,2.1,5.0,2.3
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,2.1,1.0,5.0,1.35
With RAG,Graph RAG,Semantic,BGE embeddings,FAISS,4.2,4.2,5.0,1.65
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,5.0,4.2,5.0,2.41
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,5.0,1.2,5.0,1.8
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,5.0,1.0,5.0,1.16
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,5.0,3.8,5.0,1.31
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,2.5,1.0,5.0,1.7
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,2.5,1.0,5.0,1.44
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,1.9,1.7,5.0,1.17
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,4.8,1.2,4.0,1.25
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,2.5,5.0,5.0,1.29
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,4.8,2.5,5.0,1.33
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,4.8,5.0,5.0,1.24
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,2.3,1.0,5.0,1.65
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,4.7,5.0,5.0,1.89
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,2.1,1.0,5.0,1.4
With RAG,Graph RAG,Semantic,BGE embeddings,ChromaDB,4.8,1.2,5.0,1.52
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,4.9,2.1,5.0,1.85
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,5.0,4.2,5.0,1.73
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,5.0,3.8,5.0,1.32
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,2.5,1.0,5.0,1.28
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,2.2,1.0,5.0,1.19
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,3.1,3.2,5.0,1.29
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,5.0,1.0,5.0,1.42
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,3.9,1.0,5.0,1.45
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,5.0,1.2,5.0,1.26
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,5.0,2.9,5.0,1.57
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,4.5,5.0,5.0,1.5
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,2.5,2.1,5.0,1.48
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,2.1,1.0,5.0,1.51
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,2.5,1.0,5.0,1.23
With RAG,Multimodal RAG,Fixed,SentenceTransformers,FAISS,5.0,5.0,5.0,1.56
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,5.0,2.1,5.0,1.78
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,5.0,4.0,5.0,1.91
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,4.8,5.0,5.0,1.31
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,1.6,1.0,5.0,1.35
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,4.8,1.0,5.0,2.07
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,2.5,1.2,5.0,1.37
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,4.6,1.0,5.0,2.41
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,3.1,1.2,5.0,1.22
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,4.8,1.0,5.0,1.37
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,5.0,2.5,5.0,1.49
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,4.5,5.0,5.0,1.68
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,2.5,4.6,5.0,1.44
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,2.1,1.7,5.0,1.52
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,2.1,1.7,5.0,10.91
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,2.8,1.0,5.0,1.57
With RAG,Multimodal RAG,Fixed,SentenceTransformers,ChromaDB,5.0,5.0,5.0,1.36
With RAG,Multimodal RAG,Fixed,BGE embeddings,FAISS,4.0,5.0,5.0,10.67
